BranchID,BranchName,Location,ManagerName,PhoneNumber
1,Westside Branch,"6 Main St, Anytown, USA",Manager 1,+19760550034
2,Downtown Branch,"758 Park Ave, Anytown, USA",Manager 2,+17994830707
3,Westside Branch,"673 Main St, Anytown, USA",Manager 3,+14495506834
4,Westside Branch,"197 Main St, Anytown, USA",Manager 4,+12297738137
5,Eastside Branch,"999 Park Ave, Anytown, USA",Manager 5,+16547943379
6,Westside Branch,"229 Elm St, Anytown, USA",Manager 6,+15564034649
7,Downtown Branch,"243 Park Ave, Anytown, USA",Manager 7,+18452808599
8,Main Branch,"732 Main St, Anytown, USA",Manager 8,+13312564903
9,Westside Branch,"784 Park Ave, Anytown, USA",Manager 9,+19123590167
10,Westside Branch,"326 Park Ave, Anytown, USA",Manager 10,+11011596570
